ID_Encuentro (PK);ID_Campeonato (FK);Fecha_Torneo;Partido;ID_EquipoLocal (FK);ID_EquipoVisitante (FK);ID_Locacion (FK);GolesLocal;GolesVisita;Valor Mercado Local;Altura Media Local;Edad Media Local;Valor Mercado Visita;Altura Media Visita;Edad Media Visita;ID_Resultado (FK);Fecha;NombreDia;Apuesta Local;Apuesta Visita;Apuesta Empate
74;1;5;14;3;28;21;3;3; 27.25;1.80;24.86; 56.25;1.77;24.21;3;2015-03-16;lunes;3.98;2.00;3.14
75;1;5;15;16;22;8;2;1; 14.30;1.78;24.11; 8.15;1.80;26.14;1;2015-03-17;martes;1.70;5.45;3.32
76;1;6;1;21;26;16;1;1; 32.67;1.78;24.27; 16.98;1.79;25.24;3;2015-03-20;viernes;1.63;5.75;3.51
77;1;6;2;20;16;9;2;0; 30.62;1.82;25.12; 14.30;1.78;24.11;1;2015-03-20;viernes;1.82;4.66;3.26
78;1;6;3;12;36;19;0;1; 12.13;1.80;24.95; 18.50;1.81;26.07;2;2015-03-21;sábado;2.44;3.09;2.95
79;1;6;4;38;8;4;1;2; 28.50;1.78;22.70; 13.98;1.82;26.42;2;2015-03-21;sábado;2.06;3.82;3.09
80;1;6;5;19;3;1;4;0; 33.53;1.78;25.60; 27.25;1.80;24.86;1;2015-03-21;sábado;1.80;4.66;3.34
81;1;6;6;18;2;4;4;0; 13.78;1.78;27.63; 12.05;1.78;24.71;1;2015-03-21;sábado;2.01;3.98;3.10
82;1;6;7;33;13;7;2;1; 8.98;1.80;26.39; 4.40;1.79;25.70;1;2015-03-21;sábado;1.98;4.09;3.11
83;1;6;8;4;29;15;1;1; 17.08;1.81;24.71; 18.35;1.79;25.61;3;2015-03-22;domingo;3.20;2.31;3.07
84;1;6;9;15;6;8;1;2; 37.65;1.80;24.90; 22.93;1.79;24.42;2;2015-03-22;domingo;2.04;3.82;3.15
85;1;6;10;14;27;6;1;1; 12.05;1.78;25.46; 29.08;1.78;26.14;3;2015-03-22;domingo;3.19;2.32;3.04
86;1;6;11;28;17;4;1;0; 56.25;1.77;24.21; 21.20;1.79;23.75;1;2015-03-22;domingo;1.42;8.04;4.21
87;1;6;12;31;9;18;1;1; 11.25;1.78;26.15; 80.93;1.80;24.92;3;2015-03-22;domingo;5.16;1.69;3.52
88;1;6;13;22;30;4;0;1; 8.15;1.80;26.14; 39.73;1.78;26.63;2;2015-03-23;lunes;4.41;1.92;3.14
89;1;6;14;1;37;10;3;3; 8.73;1.79;28.10; 7.95;1.79;23.81;3;2015-03-23;lunes;2.36;3.20;2.99
90;1;6;15;35;23;22;0;0; 5.30;1.80;26.35; 12.97;1.79;25.02;3;2015-03-23;lunes;2.43;3.17;2.92
91;1;7;1;26;33;14;0;4; 16.98;1.79;25.24; 8.98;1.80;26.39;2;2015-03-27;viernes;2.09;3.88;2.95
92;1;7;2;29;12;16;1;1; 18.35;1.79;25.61; 12.13;1.80;24.95;3;2015-03-27;viernes;1.61;6.22;3.51
93;1;7;3;23;4;2;0;0; 12.97;1.79;25.02; 17.08;1.81;24.71;3;2015-03-28;sábado;2.01;3.84;3.21
94;1;7;4;6;18;3;1;0; 22.93;1.79;24.42; 13.78;1.78;27.63;1;2015-03-28;sábado;1.90;4.02;3.35
95;1;7;5;17;19;11;2;2; 21.20;1.79;23.75; 33.53;1.78;25.60;3;2015-03-28;sábado;2.64;2.68;3.14
96;1;7;6;30;20;4;4;0; 39.73;1.78;26.63; 30.62;1.82;25.12;1;2015-03-28;sábado;2.11;3.56;3.12
97;1;7;7;13;35;12;1;0; 4.40;1.79;25.70; 5.30;1.80;26.35;1;2015-03-28;sábado;2.23;3.50;2.96
98;1;7;8;8;21;5;2;0; 13.98;1.82;26.42; 32.67;1.78;24.27;1;2015-03-29;domingo;2.14;3.67;3.04
99;1;7;9;27;31;1;2;0; 29.08;1.78;26.14; 11.25;1.78;26.15;1;2015-03-29;domingo;1.55;6.40;3.73
100;1;7;10;9;15;4;3;0; 80.93;1.80;24.92; 37.65;1.80;24.90;1;2015-03-29;domingo;1.79;4.69;3.34
101;1;7;11;37;38;19;1;0; 7.95;1.79;23.81; 28.50;1.78;22.70;1;2015-03-29;domingo;2.30;3.27;3.03
102;1;7;12;16;28;8;2;3; 14.30;1.78;24.11; 56.25;1.77;24.21;2;2015-03-29;domingo;3.46;2.21;3.04
103;1;7;13;36;14;24;0;0; 18.50;1.81;26.07; 12.05;1.78;25.46;3;2015-03-30;lunes;2.01;3.87;3.16
104;1;7;14;2;22;4;1;1; 12.05;1.78;24.71; 8.15;1.80;26.14;3;2015-03-30;lunes;2.14;3.62;2.99
105;1;7;15;3;1;21;0;3; 27.25;1.80;24.86; 8.73;1.79;28.10;2;2015-03-30;lunes;2.14;3.62;2.99
106;1;8;1;33;8;7;1;3; 8.98;1.80;26.39; 13.98;1.82;26.42;2;2015-04-03;viernes;2.51;3.02;2.94
107;1;8;2;15;27;8;1;1; 37.65;1.80;24.90; 29.08;1.78;26.14;3;2015-04-03;viernes;2.54;2.97;2.94
108;1;8;3;4;35;15;1;1; 17.08;1.81;24.71; 5.30;1.80;26.35;3;2015-04-04;sábado;1.90;4.34;3.20
109;1;8;4;14;29;6;3;3; 12.05;1.78;25.46; 18.35;1.79;25.61;3;2015-04-04;sábado;3.15;2.35;3.07
110;1;8;5;1;17;10;2;0; 8.73;1.79;28.10; 21.20;1.79;23.75;1;2015-04-04;sábado;1.95;4.07;3.20
111;1;8;6;19;16;1;1;1; 33.53;1.78;25.60; 14.30;1.78;24.11;3;2015-04-04;sábado;1.91;4.27;3.19
112;1;8;7;38;3;4;2;1; 28.50;1.78;22.70; 27.25;1.80;24.86;1;2015-04-04;sábado;1.83;4.58;3.26
113;1;8;8;28;30;4;1;0; 56.25;1.77;24.21; 39.73;1.78;26.63;1;2015-04-05;domingo;1.87;4.37;3.25
114;1;8;9;20;2;9;0;1; 30.62;1.82;25.12; 12.05;1.78;24.71;2;2015-04-05;domingo;1.68;5.52;3.42
115;1;8;10;18;9;4;0;2; 13.78;1.78;27.63; 80.93;1.80;24.92;2;2015-04-05;domingo;4.94;1.76;3.35
116;1;8;11;12;23;19;1;0; 12.13;1.80;24.95; 12.97;1.79;25.02;1;2015-04-05;domingo;2.28;3.51;2.88
117;1;8;12;26;13;14;3;1; 16.98;1.79;25.24; 4.40;1.79;25.70;1;2015-04-05;domingo;2.09;3.89;2.96
118;1;8;13;31;36;18;3;1; 11.25;1.78;26.15; 18.50;1.81;26.07;1;2015-04-05;domingo;2.42;3.11;2.98
119;1;8;14;22;6;4;1;2; 8.15;1.80;26.14; 22.93;1.79;24.42;2;2015-04-06;lunes;4.21;1.90;3.27
120;1;8;15;21;37;16;2;0; 32.67;1.78;24.27; 7.95;1.79;23.81;1;2015-04-06;lunes;1.95;4.08;3.21
121;1;9;1;13;4;12;1;1; 4.40;1.79;25.70; 17.08;1.81;24.71;3;2015-04-10;viernes;2.50;2.96;3.02
122;1;9;2;35;12;22;2;1; 5.30;1.80;26.35; 12.13;1.80;24.95;1;2015-04-10;viernes;2.52;3.04;2.87
123;1;9;3;17;38;11;2;2; 21.20;1.79;23.75; 28.50;1.78;22.70;3;2015-04-11;sábado;2.48;2.94;3.03
124;1;9;4;16;1;8;4;1; 14.30;1.78;24.11; 8.73;1.79;28.10;1;2015-04-11;sábado;1.79;4.70;3.32
125;1;9;5;29;31;16;2;1; 18.35;1.79;25.61; 11.25;1.78;26.15;1;2015-04-11;sábado;1.60;5.86;3.61
126;1;9;6;27;18;1;2;0; 29.08;1.78;26.14; 13.78;1.78;27.63;1;2015-04-11;sábado;1.58;6.10;3.66
127;1;9;7;30;19;4;1;0; 39.73;1.78;26.63; 33.53;1.78;25.60;1;2015-04-11;sábado;2.06;3.79;3.10
128;1;9;8;23;14;2;0;0; 12.97;1.79;25.02; 12.05;1.78;25.46;3;2015-04-12;domingo;2.27;3.37;2.99
129;1;9;9;6;20;3;1;2; 22.93;1.79;24.42; 30.62;1.82;25.12;2;2015-04-12;domingo;2.10;3.55;3.19
130;1;9;10;37;33;19;0;1; 7.95;1.79;23.81; 8.98;1.80;26.39;2;2015-04-12;domingo;1.97;4.06;3.11
131;1;9;11;9;22;4;0;0; 80.93;1.80;24.92; 8.15;1.80;26.14;3;2015-04-12;domingo;1.30;10.08;5.00
132;1;9;12;2;28;4;1;2; 12.05;1.78;24.71; 56.25;1.77;24.21;2;2015-04-12;domingo;3.94;2.00;3.11
133;1;9;13;3;21;21;3;0; 27.25;1.80;24.86; 32.67;1.78;24.27;1;2015-04-13;lunes;3.13;2.38;3.00
134;1;9;14;36;15;24;2;0; 18.50;1.81;26.07; 37.65;1.80;24.90;1;2015-04-13;lunes;2.80;2.73;2.87
135;1;9;15;8;26;5;2;1; 13.98;1.82;26.42; 16.98;1.79;25.24;1;2015-04-13;lunes;1.60;6.26;3.48
136;1;10;1;15;29;8;1;1; 37.65;1.80;24.90; 18.35;1.79;25.61;3;2015-04-17;viernes;3.19;2.41;2.93
137;1;10;2;33;3;7;2;0; 8.98;1.80;26.39; 27.25;1.80;24.86;1;2015-04-18;sábado;2.18;3.54;3.03
138;1;10;3;18;36;4;1;2; 13.78;1.78;27.63; 18.50;1.81;26.07;2;2015-04-18;sábado;3.22;2.37;3.00
139;1;10;4;14;35;6;0;1; 12.05;1.78;25.46; 5.30;1.80;26.35;2;2015-04-18;sábado;2.06;3.71;3.17
140;1;10;5;19;2;1;0;0; 33.53;1.78;25.60; 12.05;1.78;24.71;3;2015-04-18;sábado;1.77;4.79;3.36
141;1;10;6;38;16;4;0;1; 28.50;1.78;22.70; 14.30;1.78;24.11;2;2015-04-18;sábado;2.16;3.49;3.12
142;1;10;7;8;13;5;1;0; 13.98;1.82;26.42; 4.40;1.79;25.70;1;2015-04-18;sábado;1.41;8.23;4.19
143;1;10;8;22;27;4;0;0; 8.15;1.80;26.14; 29.08;1.78;26.14;3;2015-04-19;domingo;4.95;1.76;3.22
144;1;10;9;1;30;10;1;0; 8.73;1.79;28.10; 39.73;1.78;26.63;1;2015-04-19;domingo;2.91;2.54;3.00
145;1;10;10;28;6;4;4;1; 56.25;1.77;24.21; 22.93;1.79;24.42;1;2015-04-19;domingo;1.54;6.33;3.80
146;1;10;11;31;23;18;2;0; 11.25;1.78;26.15; 12.97;1.79;25.02;1;2015-04-19;domingo;2.29;3.32;3.01
147;1;10;12;20;9;9;1;3; 30.62;1.82;25.12; 80.93;1.80;24.92;2;2015-04-19;domingo;3.47;2.19;3.06
148;1;10;13;26;37;14;1;3; 16.98;1.79;25.24; 7.95;1.79;23.81;2;2015-04-20;lunes;2.33;3.25;3.00
149;1;10;14;12;4;19;2;1; 12.13;1.80;24.95; 17.08;1.81;24.71;1;2015-04-21;martes;2.54;2.93;2.98
150;1;10;15;21;17;16;2;0; 32.67;1.78;24.27; 21.20;1.79;23.75;1;2015-04-21;martes;1.88;4.22;3.32
151;1;11;1;17;33;11;1;0; 21.20;1.79;23.75; 8.98;1.80;26.39;1;2015-04-30;jueves;2.10;3.55;3.19
152;1;11;2;23;15;2;0;0; 12.97;1.79;25.02; 37.65;1.80;24.90;3;2015-05-02;sábado;3.06;2.56;2.84
153;1;11;3;16;21;8;0;0; 14.30;1.78;24.11; 32.67;1.78;24.27;3;2015-05-02;sábado;2.17;3.50;3.08
154;1;11;4;30;38;4;1;0; 39.73;1.78;26.63; 28.50;1.78;22.70;1;2015-05-02;sábado;1.92;4.28;3.18
155;1;11;5;2;1;4;0;1; 12.05;1.78;24.71; 8.73;1.79;28.10;2;2015-05-02;sábado;2.20;3.45;3.06
156;1;11;6;27;20;1;2;0; 29.08;1.78;26.14; 30.62;1.82;25.12;1;2015-05-02;sábado;1.99;3.99;3.14
157;1;11;7;29;18;16;1;1; 18.35;1.79;25.61; 13.78;1.78;27.63;3;2015-05-02;sábado;1.63;5.69;3.59
158;1;11;8;4;14;15;2;1; 17.08;1.81;24.71; 12.05;1.78;25.46;1;2015-05-03;domingo;1.98;3.91;3.23
159;1;11;9;6;19;3;1;1; 22.93;1.79;24.42; 33.53;1.78;25.60;3;2015-05-03;domingo;2.37;3.02;3.13
160;1;11;10;36;22;24;2;0; 18.50;1.81;26.07; 8.15;1.80;26.14;1;2015-05-03;domingo;1.65;5.71;3.44
161;1;11;11;9;28;4;2;0; 80.93;1.80;24.92; 56.25;1.77;24.21;1;2015-05-03;domingo;2.46;3.02;2.99
162;1;11;12;37;8;19;1;1; 7.95;1.79;23.81; 13.98;1.82;26.42;3;2015-05-03;domingo;3.01;2.53;2.93
163;1;11;13;3;26;21;0;1; 27.25;1.80;24.86; 16.98;1.79;25.24;2;2015-05-04;lunes;2.10;3.69;3.09
164;1;11;14;13;12;12;0;0; 4.40;1.79;25.70; 12.13;1.80;24.95;3;2015-05-04;lunes;2.68;2.92;2.82
165;1;11;15;35;31;22;0;1; 5.30;1.80;26.35; 11.25;1.78;26.15;2;2015-05-04;lunes;2.22;3.46;3.03
166;1;12;1;22;29;4;0;2; 8.15;1.80;26.14; 18.35;1.79;25.61;2;2015-05-08;viernes;4.43;1.86;3.24
167;1;12;2;20;36;9;1;1; 30.62;1.82;25.12; 18.50;1.81;26.07;3;2015-05-08;viernes;2.19;3.45;3.09
168;1;12;3;15;35;8;2;1; 37.65;1.80;24.90; 5.30;1.80;26.35;1;2015-05-08;viernes;1.85;4.42;3.19
169;1;12;4;26;17;14;0;0; 16.98;1.79;25.24; 21.20;1.79;23.75;3;2015-05-09;sábado;2.28;3.27;3.08
170;1;12;5;18;23;4;1;3; 13.78;1.78;27.63; 12.97;1.79;25.02;2;2015-05-09;sábado;1.99;4.19;3.03
171;1;12;6;37;13;19;5;2; 7.95;1.79;23.81; 4.40;1.79;25.70;1;2015-05-09;sábado;1.68;5.62;3.38
172;1;12;7;21;30;16;1;1; 32.67;1.78;24.27; 39.73;1.78;26.63;3;2015-05-09;sábado;2.52;3.10;2.89
173;1;12;8;38;2;4;0;1; 28.50;1.78;22.70; 12.05;1.78;24.71;2;2015-05-09;sábado;1.98;4.11;3.11
174;1;12;9;8;3;5;2;0; 13.98;1.82;26.42; 27.25;1.80;24.86;1;2015-05-10;domingo;1.56;6.51;3.64
175;1;12;10;1;6;10;0;3; 8.73;1.79;28.10; 22.93;1.79;24.42;2;2015-05-10;domingo;2.74;2.67;3.02
176;1;12;11;28;27;4;0;0; 56.25;1.77;24.21; 29.08;1.78;26.14;3;2015-05-10;domingo;1.71;5.44;3.29
177;1;12;12;31;4;18;1;1; 11.25;1.78;26.15; 17.08;1.81;24.71;3;2015-05-10;domingo;2.16;3.49;3.10
178;1;12;13;19;9;1;1;1; 33.53;1.78;25.60; 80.93;1.80;24.92;3;2015-05-10;domingo;2.80;2.60;3.04
179;1;12;14;33;16;7;0;0; 8.98;1.80;26.39; 14.30;1.78;24.11;3;2015-05-11;lunes;2.75;2.74;2.93
180;1;12;15;14;12;6;2;3; 12.05;1.78;25.46; 12.13;1.80;24.95;2;2015-05-11;lunes;2.16;3.60;3.04
181;1;13;1;16;26;8;3;2; 14.30;1.78;24.11; 16.98;1.79;25.24;1;2015-05-22;viernes;1.75;5.23;3.24
182;1;13;2;13;14;12;3;1; 4.40;1.79;25.70; 12.05;1.78;25.46;1;2015-05-22;viernes;2.75;2.73;2.95
183;1;13;3;35;18;22;0;0; 5.30;1.80;26.35; 13.78;1.78;27.63;3;2015-05-22;viernes;2.62;2.86;2.91
184;1;13;4;3;37;21;1;1; 27.25;1.80;24.86; 7.95;1.79;23.81;3;2015-05-23;sábado;2.56;2.91;2.99
185;1;13;5;29;20;16;1;1; 18.35;1.79;25.61; 30.62;1.82;25.12;3;2015-05-23;sábado;1.93;4.08;3.25
186;1;13;6;12;31;19;2;2; 12.13;1.80;24.95; 11.25;1.78;26.15;3;2015-05-23;sábado;2.23;3.42;3.02
187;1;13;7;6;38;3;1;3; 22.93;1.79;24.42; 28.50;1.78;22.70;2;2015-05-23;sábado;1.88;4.14;3.38
188;1;13;8;23;22;2;0;0; 12.97;1.79;25.02; 8.15;1.80;26.14;3;2015-05-23;sábado;1.94;4.30;3.09
189;1;13;9;30;33;4;3;0; 39.73;1.78;26.63; 8.98;1.80;26.39;1;2015-05-23;sábado;1.57;6.51;3.57
190;1;13;10;4;15;15;1;2; 17.08;1.81;24.71; 37.65;1.80;24.90;2;2015-05-23;sábado;2.97;2.48;3.03
191;1;13;11;27;19;1;1;0; 29.08;1.78;26.14; 33.53;1.78;25.60;1;2015-05-24;domingo;2.18;3.50;3.08
192;1;13;12;2;21;4;2;1; 12.05;1.78;24.71; 32.67;1.78;24.27;1;2015-05-24;domingo;2.66;2.90;2.87
193;1;13;13;9;1;4;0;3; 80.93;1.80;24.92; 8.73;1.79;28.10;2;2015-05-24;domingo;1.40;8.17;4.29
194;1;13;14;17;8;11;1;0; 21.20;1.79;23.75; 13.98;1.82;26.42;1;2015-05-24;domingo;2.82;2.60;3.03
